Scenario - Touch Movie Choice
Logfile written - 06/14/2016 09:55:31

Trial	Event Type	Code	x(num)	y(num)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
361	Picture	start			10031690	0	1	500	1	0	next	other	0
362	Picture	stim			10056681	0	1	167	1	0	next	other	0
363	Picture	start			10086836	0	1	500	1	0	next	other	0
364	Picture	stim			10111826	0	1	166	1	0	next	other	0
365	Picture	start			10142981	0	1	500	1	0	next	other	0
366	Picture	stim			10167972	0	1	167	1	0	next	other	0
367	Picture	start			10199293	0	1	500	1	0	next	other	0
368	Picture	stim			10224283	0	1	167	1	0	next	other	0
369	Picture	start			10254939	0	1	500	1	0	next	other	0
370	Picture	stim			10279929	0	1	167	1	0	next	other	0
371	Picture	start			10309918	0	1	500	1	0	next	other	0
372	Picture	stim			10334908	0	1	167	1	0	next	other	0
373	Picture	start			10365896	0	1	500	1	0	next	other	0
374	Picture	stim			10390887	0	1	167	1	0	next	other	0
375	Picture	start			10421209	0	1	500	1	0	next	other	0
376	Picture	stim			10446199	0	1	167	1	0	next	other	0
377	Picture	start			10477021	0	1	500	1	0	next	other	0
378	Picture	stim			10502012	0	1	167	1	0	next	other	0
379	Picture	start			10532333	0	1	500	1	0	next	other	0
380	Picture	stim			10557324	0	1	167	1	0	next	other	0
381	Picture	start			10588312	0	1	500	1	0	next	other	0
382	Picture	stim			10613303	0	1	166	1	0	next	other	0
383	Picture	start			10643458	0	1	500	1	0	next	other	0
384	Picture	stim			10668448	0	1	167	1	0	next	other	0
385	Picture	start			10698937	0	1	500	1	0	next	other	0
386	Picture	stim			10723927	0	1	167	1	0	next	other	0
387	Picture	start			10755249	0	1	500	1	0	next	other	0
388	Picture	stim			10780239	0	1	167	1	0	next	other	0
389	Picture	start			10810394	0	1	500	1	0	next	other	0
390	Picture	stim			10835385	0	1	167	1	0	next	other	0
391	Picture	start			10866540	0	1	500	1	0	next	other	0
392	Picture	stim			10891530	0	1	167	1	0	next	other	0
393	Picture	start			10922352	0	1	500	1	0	next	other	0
394	Picture	stim			10947342	0	1	167	1	0	next	other	0
395	Picture	start			10977498	0	1	500	1	0	next	other	0
396	Picture	stim			11002488	0	1	167	1	0	next	other	0
397	Picture	start			11033310	0	1	500	1	0	next	other	0
398	Picture	stim			11058300	0	1	167	1	0	next	other	0
399	Picture	start			11088622	0	1	500	1	0	next	other	0
400	Picture	stim			11113612	0	1	167	1	0	next	other	0
401	Picture	start			11144767	0	1	500	1	0	next	other	0
402	Picture	stim			11169758	0	1	167	1	0	next	other	0
403	Picture	start			11200080	0	1	500	1	0	next	other	0
404	Picture	stim			11225070	0	1	167	1	0	next	other	0
405	Picture	start			11255059	0	1	500	1	0	next	other	0
406	Picture	stim			11280049	0	1	167	1	0	next	other	0
407	Picture	start			11311371	0	1	500	1	0	next	other	0
408	Picture	stim			11336361	0	1	167	1	0	next	other	0
409	Picture	start			11368016	0	1	500	1	0	next	other	0
410	Picture	stim			11393006	0	1	167	1	0	next	other	0
411	Picture	start			11422662	0	1	500	1	0	next	other	0
412	Picture	stim			11447652	0	1	167	1	0	next	other	0
413	Picture	start			11478807	0	1	500	1	0	next	other	0
414	Picture	stim			11503798	0	1	167	1	0	next	other	0
415	Picture	start			11533786	0	1	500	1	0	next	other	0
416	Picture	stim			11558777	0	1	167	1	0	next	other	0
417	Picture	start			11589765	0	1	500	1	0	next	other	0
418	Picture	stim			11614755	0	1	167	1	0	next	other	0
419	Picture	start			11645577	0	1	499	2	0	next	other	0
420	Picture	stim			11670568	0	1	167	1	0	next	other	0
421	Picture	start			11700723	0	1	500	1	0	next	other	0
422	Picture	stim			11725713	0	1	167	1	0	next	other	0
423	Picture	start			11756202	0	1	500	1	0	next	other	0
424	Picture	stim			11781192	0	1	167	1	0	next	other	0
425	Picture	start			11812347	0	1	500	1	0	next	other	0
426	Picture	stim			11837338	0	1	167	1	0	next	other	0
427	Picture	start			11867659	0	1	500	1	0	next	other	0
428	Picture	stim			11892650	0	1	167	1	0	next	other	0
429	Picture	start			11923638	0	1	500	1	0	next	other	0
430	Picture	stim			11948629	0	1	167	1	0	next	other	0
